ID;Product;Price;QTY;Date;Address
111261;A;200;3;01/04/2024;Jalan Manggis, Jakarta Selatan
111262;B;175;4;02/04/2024;Jalan Kedondong, Jakarta Selatan
111263;B;175;5;03/04/2024;Jalan Durian, Jakarta Selatan
111264;C;165;2;04/04/2024;Jalan Pepaya 1, Jakarta Selatan
111265;C;165;1;05/04/2024;Jalan Kedondong, Jakarta Selatan
111266;A;200;3;06/04/2024;Jalan Manggis, Jakarta Selatan
111267;B;175;2;07/04/2024;Jalan Durian, Jakarta Selatan
111268;C;165;2;08/04/2024;Jalan Kedondong, Jakarta Selatan
111269;C;165;2;09/04/2024;Jalan Durian, Jakarta Selatan
111270;C;165;5;10/04/2024;Jalan Manggis, Jakarta Selatan
