ID;Product;Price;QTY;Date;Address
111231;A;200;3;01/01/2024;Jalan Sabeni, Jakarta Pusat
111232;B;175;2;02/01/2024;Jalan Benhil, Jakarta Pusat
111233;C;165;2;03/01/2024;Jalan Akasia, Tangerang Selatan
111234;A;200;2;04/01/2024;Jalan Benhil, Jakarta Pusat
111235;B;175;1;05/01/2024;Jalan Akasia, Jakarta Barat
111236;B;175;3;06/01/2024;Jalan Ismail, Jakarta Selatan
111237;B;175;1;07/01/2024;Jalan Akasia, Tangerang Selatan
111238;C;165;2;08/01/2024;Jalan Sabeni, Jakarta Pusat
111239;A;200;4;09/01/2024;Jalan Kamboja, Jakarta Selatan
111240;A;200;1;10/01/2024;Jalan Benhil, Jakarta Pusat
