ID;Product;Price;QTY;Date;Address
111251;B;175;1;13/03/2024;Jalan Benhil, Jakarta Pusat
111252;A;200;2;14/03/2024;Jalan Jombang, Tangerang Selatan
111253;A;200;3;15/03/2024;Jalan Melati, Jakarta Barat
111254;C;165;1;16/03/2024;Jalan Benhil, Jakarta Pusat
111255;B;175;2;17/03/2024;Jalan  Sabeni, Jakarta Pusat
111256;A;200;3;21/03/2024;Jalan Kamboja, Jakarta Selatan
111257;C;165;1;22/03/2024;Jalan Akasia, Tangerang Selatan
111258;A;200;1;25/03/2024;Jalan Fatmawati, Jakarta Selatan
111259;A;200;2;26/03/2024;Jalan Sabeni, Jakarta Pusat
111260;C;165;1;27/03/2024;Jalan Akasia, Jakarta Barat
