ID;Product;Price;QTY;Date;Address
111271;B;175;8;15/05/2024;Jalan H. Tohir I, Jakarta Selatan
111272;C;165;7;16/05/2024;Jalan Andara Dalam, Depok
111273;C;165;1;17/05/2024;Jalan H. Tohir I, Jakarta Selatan
111274;A;200;6;18/05/2024;Jalan H. Bara I, Depok
111275;B;175;3;19/05/2024;Jalan H. Bara I, Depok
111276;A;200;4;20/05/2024;Jalan H. Tohir I, Jakarta Selatan
111277;B;175;5;21/05/2024;Jalan Andara Dalam, Depok
111278;C;165;1;22/05/2024;Jalan Cilobak, Depok
111279;A;200;5;23/05/2024;Jalan H. Bara I, Depok
111280;B;175;2;24/05/2024;Jalan Andara Dalam, Depok
